data,color
"[123, 80, 1]","[141, 94, 93]"
"[104, 146, 3]","[195, 127, 131]"
"[151, 115, 3]","[210, 163, 162]"
"[33, 240, 10]","[97, 86, 65]"
"[90, 163, 3]","[154, 120, 119]"
"[88, 129, 3]","[133, 72, 70]"
"[144, 197, 1]","[181, 178, 166]"
"[46, 195, 7]","[174, 160, 149]"
"[130, 55, 8]","[236, 180, 172]"
"[97, 105, 3]","[212, 133, 136]"
"[157, 160, 10]","[219, 212, 208]"
"[47, 68, 2]","[146, 113, 100]"
"[123, 85, 3]","[189, 122, 120]"
"[152, 68, 3]","[167, 140, 134]"
"[152, 85, 1]","[156, 132, 128]"
"[19, 1, 24]","[226, 215, 208]"
"[176, 205, 5]","[208, 205, 199]"
"[64, 34, 2]","[137, 120, 112]"
"[137, 198, 3]","[219, 169, 165]"
"[161, 253, 3]","[138, 141, 123]"
"[111, 144, 4]","[182, 140, 139]"
"[29, 81, 15]","[208, 194, 186]"
"[132, 34, 1]","[134, 116, 108]"
"[35, 65, 9]","[212, 200, 191]"
"[9, 191, 8]","[182, 165, 152]"
"[64, 237, 4]","[129, 91, 76]"
"[90, 206, 3]","[130, 105, 98]"
"[90, 21, 4]","[159, 138, 130]"
"[120, 71, 5]","[229, 168, 172]"
"[141, 67, 9]","[237, 184, 177]"
"[150, 191, 8]","[207, 202, 196]"
"[138, 151, 4]","[204, 169, 170]"
"[134, 190, 3]","[197, 166, 164]"
"[55, 68, 6]","[187, 135, 120]"
"[148, 210, 3]","[152, 151, 137]"
"[148, 43, 1]","[175, 170, 167]"
"[60, 75, 2]","[145, 98, 88]"
"[157, 237, 3]","[115, 113, 96]"
"[1, 63, 13]","[210, 195, 186]"
"[115, 152, 1]","[155, 92, 94]"
"[138, 210, 5]","[226, 170, 162]"
"[130, 157, 6]","[224, 182, 185]"
"[64, 76, 3]","[127, 77, 70]"
"[132, 183, 4]","[217, 201, 202]"
"[51, 21, 15]","[225, 216, 208]"
"[49, 137, 4]","[165, 134, 123]"
"[47, 126, 4]","[163, 129, 119]"
"[61, 189, 6]","[165, 131, 122]"
"[69, 131, 5]","[172, 108, 101]"
"[53, 88, 5]","[186, 137, 123]"
"[117, 62, 4]","[224, 162, 160]"
"[103, 169, 2]","[158, 117, 115]"
"[116, 164, 3]","[208, 163, 163]"
"[141, 182, 5]","[207, 194, 189]"
"[97, 197, 3]","[155, 135, 134]"
"[85, 84, 5]","[146, 88, 80]"
"[104, 200, 4]","[169, 147, 145]"
"[28, 192, 7]","[178, 163, 150]"
"[128, 31, 2]","[166, 146, 139]"
"[119, 156, 2]","[160, 121, 118]"
"[46, 77, 1]","[128, 101, 89]"
"[116, 180, 5]","[221, 210, 211]"
"[108, 231, 7]","[214, 165, 155]"
"[135, 219, 5]","[228, 173, 166]"
"[97, 136, 3]","[156, 124, 122]"
"[134, 146, 3]","[201, 155, 157]"
"[151, 99, 1]","[177, 143, 144]"
"[66, 104, 6]","[172, 115, 110]"
"[63, 89, 2]","[135, 87, 82]"
"[83, 241, 4]","[161, 112, 100]"
"[152, 91, 2]","[150, 133, 129]"
"[128, 94, 1]","[116, 105, 115]"
"[144, 213, 1]","[114, 89, 81]"
"[78, 129, 5]","[159, 92, 85]"
"[53, 228, 1]","[48, 32, 29]"
"[122, 206, 4]","[220, 180, 175]"
"[47, 227, 3]","[94, 81, 63]"
"[145, 208, 1]","[109, 97, 88]"
"[112, 121, 2]","[209, 136, 134]"
"[53, 100, 6]","[185, 132, 120]"
"[116, 22, 2]","[198, 186, 182]"
"[58, 171, 4]","[171, 142, 132]"
"[167, 177, 10]","[218, 213, 207]"
"[113, 172, 2]","[191, 171, 172]"
"[143, 38, 1]","[165, 156, 151]"
"[8, 227, 3]","[92, 79, 60]"
"[84, 157, 4]","[153, 95, 91]"
"[101, 130, 4]","[201, 149, 150]"
"[6, 164, 8]","[200, 183, 172]"
"[148, 52, 2]","[127, 101, 95]"
"[146, 41, 1]","[158, 149, 146]"
"[87, 217, 5]","[158, 125, 117]"
"[52, 157, 2]","[172, 144, 134]"
"[69, 70, 4]","[171, 117, 112]"
"[104, 126, 1]","[152, 64, 70]"
"[70, 227, 9]","[159, 111, 98]"
"[132, 91, 2]","[166, 126, 130]"
